Year;Age;Team Value;transfer_expense;transfer_receive;same_number_of_players_percantage;"
domestic_balance";Forward_value;Goalkeper_value;last_year_champion;is_in_europe;comes_from_bottom;is_coach_champion;coach_age;is_coach_turkish;points_per_game
2009;26.8;26.85;1.33;0;0.191489362;0.744680851;1.7;1.3;0;0;1;0;51;1;0.852941176
2009;23.6;21.3;1.5;1.7;0.307692308;0.666666667;1.2;0.8;0;0;0;0;46;1;0.647058824
2010;25.4;51.75;0;0;0.457142857;0.714285714;2.7;2.5;0;0;0;0;39;1;2.205882353
2010;25.6;119.45;31.2;3.9;0.59375;0.71875;9.5;9;0;1;0;1;55;0;2.176470588
2010;24.1;129.23;16.44;2.6;0.64;0.78;9.5;4;0;1;0;1;46;0;1.882352941
2010;25.7;93.55;23.93;0.1;0.484848485;0.606060606;9.5;1.7;1;1;0;1;59;1;1.882352941
2010;25.2;66.95;5.11;3.3;0.633333333;0.7;4.5;2.5;0;0;0;0;57;1;1.676470588
2010;26.2;24;0;0;0.59375;0.78125;1.5;1.7;0;0;0;0;41;1;1.647058824
2010;24.9;24.8;1.64;0.1;0.473684211;0.763157895;1.5;1.2;0;0;0;0;46;1;1.617647059
2010;23.8;38.5;1.89;9;0.588235294;0.705882353;6;0.7;0;0;0;0;41;1;1.5
2010;26.9;23.95;0;0;0.448275862;0.793103448;2.7;0.75;0;0;0;0;43;1;1.441176471
2010;24.1;29;1.63;1;0.454545455;0.636363636;0.75;2;0;0;0;0;43;0;1.205882353
2010;27.5;20.2;0.75;0;0.236842105;0.736842105;1.2;0.5;0;0;1;0;56;1;1.205882353
2010;25.8;44.7;2.2;0.15;0.192982456;0.666666667;2.3;1.5;0;0;0;0;49;1;1.176470588
2010;26.1;32.45;0.505;13.5;0.647058824;0.636363636;2.7;0.6;0;0;0;0;46;0;1.176470588
2010;25.4;19.88;0;1;0.371428571;0.771428571;0.5;0.6;0;0;1;0;45;1;1.088235294
2010;25.7;33.65;2.14;2.83;0.368421053;0.684210526;4.2;0.75;0;0;0;0;49;1;1
2010;27.7;17.75;0.37;0;0.045454545;0.636363636;1.5;1.1;0;0;1;0;48;1;0.794117647
2010;25.7;18.4;0.25;0;0.384615385;0.769230769;1.5;0.7;0;0;0;0;37;1;0.764705882
2022;25.9;123.88;14.62;1.9;0.48;0.6;9;18;0;0;0;1;57;1;2.13
2022;24.1;152.13;16.85;6.06;0.56;0.59;6;16;0;1;0;1;52;0;1.92
2022;27;48.3;1.87;0.8;0.51;0.54;3;1.5;0;0;0;0;44;1;1.78
2022;26.5;62.88;2.8;6.05;0.5;0.66;2.9;0.6;0;0;0;1;56;1;1.71
2022;25;52.28;0.48;7.4;0.43;0.63;4;0.25;0;0;0;0;41;1;1.68
2022;26;101.53;7.35;7.35;0.19;0.58;10;10;1;1;0;0;48;1;1.55
2022;26;37.65;0.12;2.39;0.48;0.53;2.5;0.45;0;0;0;1;59;1;1.55
2022;26.7;36.15;0;4.8;0.3;0.52;3;0.3;0;0;0;0;32;0;1.5
2022;26.5;46.03;1.75;0.3;0.36;0.56;3.4;2.6;0;0;0;1;47;0;1.44
2022;27.6;30.58;1;1.5;0.65;0.6;3.2;0.75;0;0;0;0;58;1;1.42
2022;26.2;43.15;0.8;0.5;0.48;0.51;5;0.4;0;0;0;0;43;1;1.39
2022;25.7;36.18;1.03;4.25;0.34;0.57;5;1.5;0;0;0;0;44;1;1.39
2022;26.3;130.63;25.95;0.5;0.52;0.54;6.5;4.2;0;1;0;1;58;0;1.36
2022;25.6;40.9;4.24;4.65;0.38;0.57;1.5;3.5;0;0;0;0;61;1;1.23
2022;26.6;30.28;1.8;0;0.48;0.54;3;2.5;0;0;0;0;46;1;1.21
2022;24.1;31.7;0.1;0;0.48;0.65;1.5;1.1;0;0;1;0;49;1;1.18
2022;26.1;24;0;0;0.39;0.55;2.5;1.5;0;0;0;0;52;1;0.94
2022;26.6;14.25;2.63;0.01;0.36;0.63;1;0.9;0;0;1;1;71;1;0.89
2022;24.2;24.68;1.65;3.93;0.59;0.67;1.8;2;0;0;0;1;38;0;0.73
2022;24.2;20.38;4;1.75;0.3;0.63;2.3;0.4;0;0;0;1;50;0;0.52
2021;25.8;104.5;1.68;0;0.48;0.48;11;5.5;0;0;0;0;47;1;2.1
2021;26.7;107.63;4.63;3.79;0.55;0.44;6.5;4;0;0;0;1;66;1;2.1
2021;26.5;115.45;20.61;25.38;0.38;0.52;4.2;14;0;0;0;0;45;1;2.05
2021;24.3;99.13;13.35;0;0.44;0.63;7;19;0;0;0;0;56;1;1.77
2021;28.5;30.7;0;0;0.54;0.51;3.7;1.5;0;1;0;0;57;1;1.62
2021;25.8;36.15;0.17;0;0.51;0.56;8.5;1.2;0;0;0;0;43;1;1.52
2021;26.5;49.68;0.76;3;0.78;0.62;5;0.9;0;0;0;0;40;1;1.5
2021;26.6;38.45;0.29;0.22;0.34;0.47;1.6;0.4;0;0;1;0;37;1;1.5
2021;27.5;27.48;0;0;0.51;0.54;1.8;2;0;0;0;1;47;0;1.45
2021;25.6;37.53;2.18;0.9;0.45;0.59;2;3.3;0;0;0;0;54;1;1.27
2021;25.8;29.88;0.5;1;0.44;0.53;0.9;0.9;0;0;0;0;59;1;1.25
2021;26.3;69.23;9.65;7;0.54;0.61;2.8;2.4;1;1;0;1;55;1;1.2
2021;27.2;30.7;1.83;1.15;0.4;0.5;0.75;3;0;0;0;0;44;0;1.2
2021;25.6;38.88;0.85;0.9;0.25;0.48;2.7;0.25;0;0;0;0;51;1;1.15
2021;25.8;28.48;0.98;5;0.32;0.52;2.3;1.6;0;0;0;1;50;1;1.12
2021;25.8;30.23;0.85;2.2;0.45;0.67;0.9;0.42;0;0;0;1;58;1;1.1
2021;25.6;23.03;2.22;0.6;0.36;0.51;1.1;2.4;0;0;0;0;64;1;1.02
2021;27.9;15.53;0.35;0;0.34;0.48;1.6;0.4;0;0;1;0;56;1;1
2021;24.9;20.7;1.65;0;0.28;0.54;1;0.85;0;0;0;0;60;1;0.95
2021;25.1;16.23;0;2.5;0.55;0.67;0.45;0.9;0;0;0;0;52;1;0.95
2021;25.4;14.08;0.08;0;0.24;0.6;0.35;0.2;0;0;0;0;48;1;0.7
2020;28.2;53.85;6.15;0.2;0.45;0.47;4.8;4;0;1;0;0;45;1;2.02
2020;24.4;87.03;3.96;18.5;0.33;0.59;13;9.5;0;0;0;0;53;1;1.91
2020;26;63.25;16.48;1.5;0.54;0.54;3.2;3.2;0;0;0;0;55;1;1.82
2020;28.2;27.3;0.25;0;0.39;0.51;0.65;2.4;0;0;0;0;56;1;1.76
2020;28;21.3;1.9;9.6;0.41;0.61;1.4;0.45;0;0;0;0;44;1;1.67
2020;26.1;105.13;9.94;8.82;0.38;0.5;4.8;4;1;1;0;1;65;1;1.64
2020;25.8;76;18.51;16.47;0.38;0.64;9.5;5.4;0;0;0;1;57;1;1.55
2020;27.2;20.1;3.55;0;0.27;0.54;2.4;0.72;0;0;1;1;48;0;1.35
2020;25.6;19.15;1.17;2;0.45;0.65;1.2;0.32;0;0;0;0;43;1;1.32
2020;25.2;30;0.65;10;0.42;0.56;0.55;0.3;0;0;0;0;49;1;1.26
2020;27;17.23;1.48;0;0.49;0.59;1.2;0.55;0;0;0;0;42;1;1.23
2020;26.5;13.75;0.27;4.3;0.37;0.54;1.4;0.8;0;0;1;1;49;1;1.05
2020;26.7;20.23;2.22;1.45;0.61;0.52;1.4;0.4;0;0;0;1;54;1;1.05
2020;27.2;15.95;0;0.33;0.24;0.58;0.8;0.67;0;0;1;0;53;1;1.02
2020;25.3;22.68;3.47;5.6;0.24;0.45;0.8;1.3;0;0;0;0;58;1;1.02
2020;26.8;22.33;1.05;4.5;0.41;0.54;1.2;0.35;0;0;0;0;46;1;0.94
2020;26.2;11.85;1.17;1.5;0.35;0.6;0.9;0.4;0;0;0;0;60;1;0.94
2020;25;21.58;4.24;3.23;0.38;0.65;0.47;0.8;0;0;0;0;50;0;0.94
2019;25.4;129.8;28.53;30.85;0.47;0.53;9;4;1;1;0;1;64;1;2.02
2019;28.3;54.63;5.5;4.5;0.62;0.47;1;3.5;0;0;0;0;54;1;1.97
2019;26.6;77.75;10.31;19.2;0.48;0.57;2;5;0;1;0;1;66;1;1.91
2019;25;60.3;2.19;17.66;0.47;0.65;2;1.5;0;0;0;0;52;1;1.85
2019;25.1;24.75;0.13;4.25;0.49;0.65;2.75;0.25;0;0;0;0;43;1;1.38
2019;26.1;103.5;26.14;25.05;0.57;0.57;5;1.75;0;1;0;1;56;1;1.35
2019;25.7;21.28;0;2.75;0.57;0.45;2.25;0.55;0;0;0;0;49;1;1.32
2019;26.4;22.53;1.35;2.2;0.63;0.56;1;0.65;0;0;0;1;53;1;1.29
